conm,std_price,afternoon_price,allday_price,subway
스튜디오S서울본사,144,,,논현역
구호스튜디오,133,,,성수역
그날의기억스튜디오,132,,,압구정로데오역
글렌하우스,177,,,청담역
노우드하우스,174,264,,청계산입구
더캐슬용마랜드스튜디오,144,,,망우역
더청담스튜디오,144,,,청담역
데이든,199,229,,
듀안메종클로이,177,,,영통역
디하우스스튜디오,166,177,,신사역
라망스튜디오청담본점,144,,,강남구청역
스튜디오랑게,166,,,압구정로데오역
로렌하우스,133,,,언주역
로멘틱애비뉴,133,,,
르안스튜디오,155,,,압구정로데오역
메종드힐,155,,,신논현역
미모아스튜디오바오밥라운지,166,,,역삼역
보어하우스,188,,,언주역
뷰시엘스튜디오,144,,,
섬/글로우,155,,,
소율,177,,,언주역
스튜디오사이,160.5,182.5,,청담역
아르센스튜디오,166,,,압구정로데오역
아우라스튜디오,150,,,압구정로데오역
아키스튜디오,166,,,언주역
어반스튜디오,144,,,압구정역
에스티무드,144,,,선정릉역
온뜰에피움스튜디오,133,,,학동역
이포토에세이,155,,,
클레스튜디오,118,183,,학동역
페레스튜디오서울본점,144,,,학동역
플레하우스,177,,,강남구청역
해밀스튜디오,149,,,압구정로데오역
허밍스튜디오,177,,,
